iter	Passed	Remaining
400	18479	4562
401	18520	4514
402	18561	4467
403	18602	4420
404	18643	4373
405	18688	4326
406	18730	4279
407	18773	4233
408	18819	4187
409	18867	4141
410	18920	4097
411	18969	4051
412	19020	4006
413	19068	3961
414	19114	3915
415	19163	3869
416	19212	3824
417	19262	3778
418	19309	3732
419	19354	3686
420	19404	3641
421	19450	3595
422	19492	3548
423	19538	3502
424	19583	3455
425	19627	3409
426	19680	3364
427	19727	3318
428	19775	3272
429	19820	3226
430	19874	3181
431	19927	3136
432	19981	3091
433	20035	3046
434	20089	3001
435	20139	2956
436	20186	2910
437	20230	2863
438	20281	2818
439	20329	2772
440	20374	2725
441	20416	2679
442	20461	2632
443	20507	2586
444	20549	2539
445	20594	2493
446	20639	2447
447	20688	2401
448	20732	2354
449	20775	2308
450	20821	2262
451	20862	2215
452	20907	2169
453	20955	2123
454	20998	2076
455	21042	2030
456	21091	1984
457	21144	1938
458	21197	1893
459	21243	1847
460	21288	1800
461	21332	1754
462	21375	1708
463	21420	1661
464	21466	1615
465	21521	1570
466	21569	1524
467	21617	1478
468	21669	1432
469	21724	1386
470	21773	1340
471	21822	1294
472	21879	1248
473	21933	1203
474	21994	1157
475	22047	1111
476	22096	1065
477	22144	1019
478	22196	973
479	22250	927
480	22294	880
481	22346	834
482	22395	788
483	22445	742
484	22491	695
485	22536	649
486	22579	602
487	22628	556
488	22676	510
489	22722	463
490	22767	417
491	22811	370
492	22853	324
493	22899	278
494	22945	231
495	22987	185
496	23034	139
497	23078	92
498	23123	46
499	23167	0
