iter	Logloss
0	0.4525889247
1	0.3467390361
2	0.2607107815
3	0.2140009058
4	0.1818175115
5	0.1636644761
6	0.1496205961
7	0.1422965423
8	0.1358785837
9	0.1298894892
10	0.1230559021
11	0.1204397432
12	0.1171037424
13	0.1138340001
14	0.1113411305
15	0.1098285732
16	0.1075429724
17	0.1063276262
18	0.1042380287
19	0.1012975872
20	0.1003432062
21	0.09927856076
22	0.09830112003
23	0.09644638475
24	0.09502299466
25	0.09401328595
26	0.09342898726
27	0.09265868212
28	0.09150088461
29	0.09069708422
30	0.09051827557
31	0.08969663779
32	0.08893855554
33	0.08835414871
34	0.08784551202
35	0.08704796337
36	0.08672478275
37	0.08631353099
38	0.08590636744
39	0.08466399993
40	0.08430729412
41	0.08331991488
42	0.08286798856
43	0.0823258509
44	0.08187080904
45	0.08117271006
46	0.08028674404
47	0.08001643725
48	0.07960591517
49	0.07907397492
50	0.07864807621
51	0.07828307481
52	0.07784047996
53	0.07736810197
54	0.07680031884
55	0.07611917802
56	0.07536517019
57	0.07494812978
58	0.07460298369
59	0.07411422352
60	0.07362446004
61	0.07299101726
62	0.07247479004
63	0.07213725825
64	0.07165683242
65	0.07119571327
66	0.07066664361
67	0.07035655088
68	0.07004592988
69	0.069701251
70	0.06947547199
71	0.06917530705
72	0.06876031177
73	0.06834676899
74	0.06811844826
75	0.06781779271
76	0.06747105631
77	0.06697282617
78	0.06671689979
79	0.06646999222
80	0.06625724138
81	0.06575591329
82	0.06531809721
83	0.06502459711
84	0.06470565347
85	0.06433421529
86	0.06413907855
87	0.06393979698
88	0.06341440778
89	0.06312523801
90	0.06299504881
91	0.0626898263
92	0.06238611238
93	0.06193104882
94	0.06169913576
95	0.06147821045
96	0.06116531383
97	0.06098330584
98	0.06057729305
99	0.06010092301
100	0.0599526047
101	0.05972235502
102	0.05957121363
103	0.0592919268
104	0.05883717038
105	0.05868142353
106	0.05855430991
107	0.058093893
108	0.05772429067
109	0.05726770913
110	0.05702180622
111	0.05677017969
112	0.05655838771
113	0.05646134168
114	0.05617522298
115	0.05593184441
116	0.05562988468
117	0.05539462167
118	0.05516398756
119	0.05507271642
120	0.05488231651
121	0.05459145665
122	0.05416682714
123	0.05396188204
124	0.05381402366
125	0.05358924256
126	0.05337188113
127	0.05312953148
128	0.05293671712
129	0.05271828049
130	0.05256955953
131	0.05237460114
132	0.05217437746
133	0.0520009467
134	0.05191844058
135	0.05162631709
136	0.05152405394
137	0.05145236166
138	0.05132424625
139	0.05121270627
140	0.05111665964
141	0.05095797102
142	0.05090117393
143	0.0508119653
144	0.05066484846
145	0.05040989363
146	0.05028030254
147	0.0500967658
148	0.04982801788
149	0.04974735156
150	0.04964208878
151	0.04934008394
152	0.04918893525
153	0.04914545112
154	0.04908408943
155	0.04894551254
156	0.04859855522
157	0.04857226747
158	0.04820394886
159	0.04791462003
160	0.04773591286
161	0.04756733915
162	0.04734631816
163	0.04693725301
164	0.0468726064
165	0.04663276796
166	0.04655494654
167	0.04633006958
168	0.04612544268
169	0.04598388459
170	0.04577382821
171	0.04559035726
172	0.04548515395
173	0.04534838476
174	0.04526359142
175	0.04498324299
176	0.0448786861
177	0.04446839727
178	0.04441326126
179	0.04423608591
180	0.04415489262
181	0.04407888471
182	0.04388443991
183	0.04370007373
184	0.0434331256
185	0.04331383318
186	0.04307297024
187	0.0429926825
188	0.04285266142
189	0.04273029588
190	0.04258285144
191	0.04247365551
192	0.04232086187
193	0.04220127041
194	0.04202012506
195	0.04181236588
196	0.04180337493
197	0.04165886099
198	0.04144266192
199	0.04135678672
200	0.04125664487
201	0.04105820993
202	0.04095805794
203	0.04079871935
204	0.04059764888
205	0.04054610979
206	0.04043885072
207	0.04037194988
208	0.04028357991
209	0.04011626156
210	0.03996633535
211	0.03991814427
212	0.03980717704
213	0.03976905276
214	0.03970281946
215	0.03963335912
216	0.03951490775
217	0.03943983136
218	0.03922938688
219	0.03904887594
220	0.0389302704
221	0.03877709473
222	0.03853097465
223	0.03842260754
224	0.0381894217
225	0.03803670627
226	0.03788285169
227	0.03775517422
228	0.03761198024
229	0.03749221227
230	0.03731882081
231	0.03727413059
232	0.03715020081
233	0.0371226463
234	0.03707249376
235	0.03702535505
236	0.03677238855
237	0.03660655506
238	0.03652348297
239	0.03623625246
240	0.03616641692
241	0.03611576371
242	0.03593888701
243	0.03579516991
244	0.03569753675
245	0.03565602058
246	0.03559589687
247	0.03553446447
248	0.03545168306
249	0.03540629381
250	0.03526319904
251	0.03522957142
252	0.03518917253
253	0.03514617559
254	0.03508015268
255	0.03503827978
256	0.03490344305
257	0.03470584625
258	0.03450231498
259	0.03436638167
260	0.03428172223
261	0.03412435866
262	0.03399097319
263	0.03383847493
264	0.03363017878
265	0.03348259888
266	0.03337406259
267	0.03328871513
268	0.03315829426
269	0.03306670306
270	0.03298514824
271	0.03286727499
272	0.03268957094
273	0.03252155083
274	0.03243202979
275	0.03231793273
276	0.03220684427
277	0.03214438263
278	0.03211921237
279	0.03198986566
280	0.03182420473
281	0.03167216378
282	0.03162117133
283	0.03155802407
284	0.03152751915
285	0.03148842473
286	0.03142241579
287	0.03132933127
288	0.03125812316
289	0.03118011758
290	0.03110519545
291	0.0310194226
292	0.03096531237
293	0.03083048053
294	0.03070959935
295	0.03059300754
296	0.03047907588
297	0.03036623987
298	0.03025970011
299	0.03009081459
300	0.03000778572
301	0.02989974182
302	0.02980807691
303	0.02971020621
304	0.02960131211
305	0.02951964782
306	0.02944709498
307	0.02935746041
308	0.02928577176
309	0.02925334565
310	0.02916832705
311	0.02901761943
312	0.02888023302
313	0.02876049953
314	0.02863045568
315	0.02844632048
316	0.02841679069
317	0.02837696104
318	0.0283310775
319	0.02825843876
320	0.02823277246
321	0.02820833735
322	0.02809709131
323	0.02805035019
324	0.0280313668
325	0.02798633984
326	0.02794325136
327	0.0278681662
328	0.02775911188
329	0.02770561644
330	0.02767854971
331	0.02756555675
332	0.02744279069
333	0.02737382378
334	0.02732532787
335	0.02720667889
336	0.02708393141
337	0.02695815923
338	0.02687861386
339	0.02674379065
340	0.02674375094
341	0.02668710149
342	0.02661703402
343	0.02659046138
344	0.02657105135
345	0.0265422428
346	0.02654223282
347	0.02650330433
348	0.02649650184
349	0.02644927236
350	0.02638529682
351	0.02631563597
352	0.02626743312
353	0.02623527771
354	0.02612225395
355	0.02602048076
356	0.02599067069
357	0.02581709453
358	0.02576858782
359	0.02572765237
360	0.02568175966
361	0.02557229385
362	0.02549416308
363	0.0254066119
364	0.02534077113
365	0.02527438845
366	0.02517565419
367	0.02505009656
368	0.02496180261
369	0.02485370877
370	0.02475921729
371	0.02468536066
372	0.02461124711
373	0.02454855136
374	0.02450436513
375	0.02442713659
376	0.02433484742
377	0.02422500193
378	0.02412738351
379	0.02398223353
380	0.0238442298
381	0.02376203444
382	0.02369639657
383	0.02357505684
384	0.02347576434
385	0.02334715187
386	0.02324385246
387	0.0231772889
388	0.02308637503
389	0.0229896009
390	0.02286768665
391	0.02276991887
392	0.02271571693
393	0.02264436055
394	0.02260804775
395	0.02253573654
396	0.02246370833
397	0.02239754118
398	0.02236742054
399	0.02232696682
400	0.02229680342
401	0.0222620536
402	0.02221748699
403	0.02219022966
404	0.02215116424
405	0.02204746272
406	0.02200949349
407	0.02193959087
408	0.02192218799
409	0.02185326273
410	0.02173415078
411	0.02164405929
412	0.02155095735
413	0.02148346584
414	0.02141678939
415	0.02134940679
416	0.02129536131
417	0.02116768593
418	0.02111905197
419	0.02107030112
420	0.02101180551
421	0.02096600345
422	0.02093265243
423	0.02090767547
424	0.02087049992
425	0.02084577329
426	0.02075593338
427	0.02069735266
428	0.02062864587
429	0.02059219881
430	0.02053655825
431	0.0205110713
432	0.02049104348
433	0.02047326764
434	0.02041282537
435	0.02032877974
436	0.02029945405
437	0.02028665363
438	0.02025299877
439	0.02015424938
440	0.02010771098
441	0.0200869792
442	0.02001429393
443	0.0199009638
444	0.01985861991
445	0.01980289726
446	0.01975464968
447	0.01970120259
448	0.01965666964
449	0.01959335988
450	0.01950528827
451	0.01944723318
452	0.01939155432
453	0.01931886437
454	0.0192512797
455	0.01922805046
456	0.01917645523
457	0.01911258756
458	0.01904528485
459	0.0190251621
460	0.01898798392
461	0.01891599973
462	0.01884882443
463	0.01880664452
464	0.01876860405
465	0.01871939094
466	0.01869385046
467	0.01864258172
468	0.01857700456
469	0.01848550986
470	0.01841302789
471	0.01834572533
472	0.01826848537
473	0.01818804562
474	0.01811254667
475	0.01805902106
476	0.01799413249
477	0.01795595245
478	0.01791460307
479	0.01787699937
480	0.01785455267
481	0.01782778868
482	0.01779383264
483	0.01773150508
484	0.01768858086
485	0.01762998579
486	0.01758914173
487	0.01755396441
488	0.01752643299
489	0.01747238652
490	0.01741151143
491	0.01738574132
492	0.01736395643
493	0.0173535631
494	0.01733286635
495	0.01729522493
496	0.01723319671
497	0.01720698858
498	0.01716044522
499	0.01711819534
